ID_Cartao,Produto_Mastercard,Tipo_Cartao,Data_Emissao,Data_Ativacao,Data_Validade,Limite_Cartao
55086184,Gold,Crédito,2021-04-10 06:07:27,2021-04-29 06:07:27,2026-04-29,12000.0
58484163,Black,Crédito,2020-12-30 17:04:08,2021-01-17 17:04:08,2026-01-17,39000.0
61292792,Black,Crédito,2022-04-06 18:14:59,2022-04-06 18:14:59,2027-04-06,30000.0
58892511,Platinum,Crédito,2020-10-06 15:28:33,2020-11-01 15:28:33,2025-11-01,26000.0
99255972,Maestro/Debit,Débito,2022-01-29 21:31:06,2022-01-31 21:31:06,2027-01-31,0.0
96313857,Gold,Crédito,2021-09-28 06:06:35,2021-10-09 06:06:35,2026-10-09,15000.0
53280929,Maestro/Debit,Débito,2023-06-19 05:01:16,2023-06-20 05:01:16,2028-01-01,0.0
74981442,Platinum,Crédito,2020-02-20 08:53:37,2020-02-28 08:53:37,2025-02-28,17000.0
55129439,Black,Crédito,2020-10-24 18:19:31,2020-11-13 18:19:31,2025-11-13,37000.0
97765146,Gold,Crédito,2020-12-10 00:50:01,2021-01-07 00:50:01,2026-01-07,22000.0
18889057,Platinum,Crédito,2021-07-21 06:37:32,2021-08-11 06:37:32,2026-08-11,13000.0
55526914,Maestro/Debit,Débito,2022-12-04 10:39:57,2022-12-08 10:39:57,2027-12-08,0.0
80929712,Black,Crédito,2022-09-07 21:12:12,2022-09-07 21:12:12,2027-09-07,26000.0
29753106,Platinum,Crédito,2021-10-08 17:26:27,2021-10-17 17:26:27,2026-10-17,16000.0
44320574,Black,Crédito,2020-12-05 08:36:15,2020-12-21 08:36:15,2025-12-21,32000.0
84224141,Platinum,Crédito,2022-09-15 15:29:11,2022-09-18 15:29:11,2027-09-18,12000.0
13669529,Standard,Crédito,2022-05-06 00:59:28,2022-05-20 00:59:28,2027-05-20,16000.0
80673046,Platinum,Crédito,2020-03-05 03:43:06,2020-03-23 03:43:06,2025-03-23,25000.0
50155438,Platinum,Crédito,2022-07-30 09:38:51,2022-08-25 09:38:51,2027-08-25,35000.0
33342335,Platinum,Crédito,2023-07-18 00:04:34,2023-07-19 00:04:34,2028-01-01,23000.0
10848728,Platinum,Crédito,2021-01-29 03:47:50,2021-02-25 03:47:50,2026-02-25,28000.0
97184416,Standard,Crédito,2020-08-25 03:38:31,2020-09-21 03:38:31,2025-09-21,9000.0
78594110,Standard,Crédito,2023-08-07 01:08:08,2023-08-08 01:08:08,2028-01-01,18000.0
26812306,Maestro/Debit,Débito,2020-06-13 00:11:05,2020-06-27 00:11:05,2025-06-27,0.0
62809263,Standard,Crédito,2021-11-27 13:34:58,2021-12-23 13:34:58,2026-12-23,9000.0
56491773,Platinum,Crédito,2022-01-17 07:35:35,2022-01-23 07:35:35,2027-01-23,16000.0
14178682,Gold,Crédito,2022-09-30 14:30:28,2022-10-14 14:30:28,2027-10-14,23000.0
51737308,Platinum,Crédito,2022-10-14 16:28:57,2022-10-21 16:28:57,2027-10-21,26000.0
45848066,Platinum,Crédito,2022-04-02 01:18:59,2022-05-01 01:18:59,2027-05-01,21000.0
14175253,Maestro/Debit,Débito,2021-04-10 09:55:05,2021-05-05 09:55:05,2026-05-05,0.0
65472462,Black,Crédito,2023-06-27 17:20:43,2023-06-28 17:20:43,2028-01-01,14000.0
28269540,Maestro/Debit,Débito,2021-03-19 09:07:53,2021-03-28 09:07:53,2026-03-28,0.0
43574226,Platinum,Crédito,2021-10-09 16:09:55,2021-10-26 16:09:55,2026-10-26,20000.0
59445733,Platinum,Crédito,2022-03-12 15:05:38,2022-03-15 15:05:38,2027-03-15,27000.0
80829423,Gold,Crédito,2020-05-27 03:00:18,2020-06-10 03:00:18,2025-06-10,13000.0
89984121,Standard,Crédito,2022-06-19 17:41:37,2022-06-29 17:41:37,2027-06-29,21000.0
60841740,Gold,Crédito,2022-05-31 02:42:39,2022-06-21 02:42:39,2027-06-21,20000.0
96974017,Gold,Crédito,2023-01-21 10:46:15,2023-01-22 10:46:15,2028-01-01,17000.0
29894095,Black,Crédito,2023-06-02 21:21:28,2023-06-03 21:21:28,2028-01-01,27000.0
23052099,Gold,Crédito,2021-01-07 18:27:16,2021-01-09 18:27:16,2026-01-09,13000.0
14389794,Black,Crédito,2022-05-23 14:00:12,2022-06-06 14:00:12,2027-06-06,23000.0
91784421,Standard,Crédito,2021-02-17 11:33:10,2021-02-22 11:33:10,2026-02-22,10000.0
10331796,Gold,Crédito,2021-10-08 18:52:29,2021-10-08 18:52:29,2026-10-08,20000.0
44523666,Gold,Crédito,2021-07-10 19:47:00,2021-07-23 19:47:00,2026-07-23,22000.0
58094600,Black,Crédito,2020-10-13 17:02:41,2020-10-28 17:02:41,2025-10-28,27000.0
35597642,Black,Crédito,2021-04-23 21:00:34,2021-04-23 21:00:34,2026-04-23,40000.0
48815486,Gold,Crédito,2021-11-22 05:29:20,2021-12-12 05:29:20,2026-12-12,16000.0
34923446,Black,Crédito,2022-08-01 22:07:19,2022-08-17 22:07:19,2027-08-17,28000.0
26833804,Black,Crédito,2023-06-17 15:50:57,2023-06-18 15:50:57,2028-01-01,30000.0
44154544,Black,Crédito,2021-08-10 15:46:40,2021-08-17 15:46:40,2026-08-17,26000.0
58451006,Maestro/Debit,Débito,2023-06-04 08:53:51,2023-06-05 08:53:51,2028-01-01,0.0
59859685,Standard,Crédito,2021-03-28 02:11:06,2021-04-12 02:11:06,2026-04-12,12000.0
51683126,Platinum,Crédito,2022-09-25 08:24:41,2022-09-30 08:24:41,2027-09-30,12000.0
85992827,Platinum,Crédito,2022-10-17 06:53:50,2022-10-26 06:53:50,2027-10-26,30000.0
33577314,Black,Crédito,2021-08-12 10:37:15,2021-08-21 10:37:15,2026-08-21,18000.0
41912433,Gold,Crédito,2022-09-06 13:14:13,2022-09-10 13:14:13,2027-09-10,26000.0
19012386,Gold,Crédito,2021-03-17 15:38:25,2021-04-11 15:38:25,2026-04-11,15000.0
49264947,Black,Crédito,2020-10-13 06:40:48,2020-11-09 06:40:48,2025-11-09,18000.0
90983788,Black,Crédito,2023-02-11 19:16:13,2023-02-12 19:16:13,2028-01-01,32000.0
91754025,Black,Crédito,2022-12-16 23:13:28,2023-01-01 01:07:00,2028-01-01,20000.0
23269369,Platinum,Crédito,2021-06-29 17:03:48,2021-07-15 17:03:48,2026-07-15,19000.0
68109886,Standard,Crédito,2023-01-04 04:02:30,2023-01-05 04:02:30,2028-01-01,16000.0
54159120,Platinum,Crédito,2022-06-21 11:17:26,2022-07-04 11:17:26,2027-07-04,29000.0
25120330,Black,Crédito,2023-03-31 22:42:56,2023-04-01 22:42:56,2028-01-01,24000.0
71359823,Black,Crédito,2022-11-27 13:36:05,2022-12-25 13:36:05,2027-12-25,14000.0
64783841,Maestro/Debit,Débito,2021-03-07 02:11:06,2021-03-18 02:11:06,2026-03-18,0.0
99611105,Platinum,Crédito,2022-10-13 19:32:57,2022-11-01 19:32:57,2027-11-01,10000.0
93082945,Standard,Crédito,2020-11-03 03:05:38,2020-11-20 03:05:38,2025-11-20,8000.0
82335844,Gold,Crédito,2022-11-01 03:34:21,2022-11-12 03:34:21,2027-11-12,25000.0
44545614,Platinum,Crédito,2023-01-09 16:49:40,2023-01-10 16:49:40,2028-01-01,23000.0
82486112,Black,Crédito,2021-03-16 02:51:13,2021-03-17 02:51:13,2026-03-17,32000.0
19152184,Black,Crédito,2021-08-06 16:32:37,2021-09-01 16:32:37,2026-09-01,44000.0
26731766,Gold,Crédito,2022-07-05 02:54:27,2022-07-21 02:54:27,2027-07-21,13000.0
35326182,Standard,Crédito,2023-01-22 02:33:30,2023-01-23 02:33:30,2028-01-01,9000.0
94888438,Platinum,Crédito,2021-04-24 04:42:39,2021-05-11 04:42:39,2026-05-11,24000.0
11183938,Platinum,Crédito,2020-11-23 08:20:03,2020-12-14 08:20:03,2025-12-14,23000.0
41146261,Black,Crédito,2022-12-03 05:03:17,2022-12-21 05:03:17,2027-12-21,22000.0
55045189,Maestro/Debit,Débito,2021-11-06 19:55:52,2021-12-01 19:55:52,2026-12-01,0.0
35837529,Standard,Crédito,2020-09-16 03:09:17,2020-10-06 03:09:17,2025-10-06,8000.0
17477467,Platinum,Crédito,2022-02-28 00:55:40,2022-02-28 00:55:40,2027-02-28,37000.0
29550564,Maestro/Debit,Débito,2020-09-12 15:55:08,2020-10-05 15:55:08,2025-10-05,0.0
76425044,Gold,Crédito,2022-08-19 02:43:55,2022-09-16 02:43:55,2027-09-16,23000.0
59846813,Gold,Crédito,2022-03-13 08:21:13,2022-03-16 08:21:13,2027-03-16,23000.0
62135243,Gold,Crédito,2023-01-31 08:54:52,2023-02-01 08:54:52,2028-01-01,15000.0
54655573,Maestro/Debit,Débito,2022-05-27 15:29:31,2022-05-30 15:29:31,2027-05-30,0.0
19592556,Gold,Crédito,2022-10-04 04:12:28,2022-11-02 04:12:28,2027-11-02,15000.0
70403022,Black,Crédito,2021-02-19 01:05:50,2021-02-20 01:05:50,2026-02-20,31000.0
19762930,Platinum,Crédito,2023-02-18 17:15:56,2023-02-19 17:15:56,2028-01-01,28000.0
32253137,Maestro/Debit,Débito,2021-09-25 22:11:33,2021-10-15 22:11:33,2026-10-15,0.0
77924785,Platinum,Crédito,2022-06-01 20:33:42,2022-06-12 20:33:42,2027-06-12,31000.0
15955364,Platinum,Crédito,2020-12-26 23:10:52,2021-01-04 23:10:52,2026-01-04,31000.0
59184866,Platinum,Crédito,2021-04-24 15:16:08,2021-05-06 15:16:08,2026-05-06,19000.0
40066754,Platinum,Crédito,2023-07-19 21:44:55,2023-07-20 21:44:55,2028-01-01,19000.0
41158009,Gold,Crédito,2021-09-08 18:36:07,2021-10-07 18:36:07,2026-10-07,10000.0
12887324,Maestro/Debit,Débito,2023-01-25 19:10:43,2023-01-26 19:10:43,2028-01-01,0.0
22386052,Platinum,Crédito,2020-07-23 18:12:41,2020-08-14 18:12:41,2025-08-14,27000.0
64368276,Black,Crédito,2021-12-13 11:37:13,2022-01-01 11:37:13,2027-01-01,29000.0
61104954,Black,Crédito,2022-01-02 17:57:18,2022-01-24 17:57:18,2027-01-24,27000.0
81343560,Maestro/Debit,Débito,2022-09-05 21:07:03,2022-09-19 21:07:03,2027-09-19,0.0
95685446,Gold,Crédito,2023-01-30 22:24:32,2023-01-31 22:24:32,2028-01-01,12000.0
59682048,Platinum,Crédito,2022-10-16 04:50:17,2022-10-18 04:50:17,2027-10-18,20000.0
24873062,Maestro/Debit,Débito,2021-10-26 21:56:41,2021-11-17 21:56:41,2026-11-17,0.0
32290287,Standard,Crédito,2022-04-20 00:17:33,2022-05-09 00:17:33,2027-05-09,19000.0
70096025,Maestro/Debit,Débito,2022-12-01 04:44:06,2022-12-29 04:44:06,2027-12-29,0.0
66277986,Maestro/Debit,Débito,2021-09-16 07:07:42,2021-09-28 07:07:42,2026-09-28,0.0
23851608,Platinum,Crédito,2022-02-25 18:52:13,2022-03-04 18:52:13,2027-03-04,16000.0
59819734,Gold,Crédito,2023-06-02 17:01:48,2023-06-03 17:01:48,2028-01-01,13000.0
58925405,Platinum,Crédito,2021-09-18 18:38:40,2021-09-24 18:38:40,2026-09-24,16000.0
26776144,Gold,Crédito,2021-01-16 17:00:14,2021-02-08 17:00:14,2026-02-08,23000.0
77351332,Standard,Crédito,2022-03-13 01:04:49,2022-03-20 01:04:49,2027-03-20,10000.0
97996255,Standard,Crédito,2021-04-10 23:19:26,2021-04-27 23:19:26,2026-04-27,7000.0
22652601,Gold,Crédito,2021-01-17 01:48:16,2021-01-25 01:48:16,2026-01-25,17000.0
32535080,Black,Crédito,2022-08-14 15:22:39,2022-08-19 15:22:39,2027-08-19,37000.0
38636751,Gold,Crédito,2020-10-18 23:29:34,2020-11-13 23:29:34,2025-11-13,8000.0
18432380,Maestro/Debit,Débito,2021-03-12 16:46:57,2021-03-15 16:46:57,2026-03-15,0.0
35372745,Maestro/Debit,Débito,2020-08-30 22:20:09,2020-09-13 22:20:09,2025-09-13,0.0
11601260,Black,Crédito,2020-02-12 23:43:53,2020-02-16 23:43:53,2025-02-16,30000.0
50830490,Black,Crédito,2021-09-06 19:54:01,2021-10-01 19:54:01,2026-10-01,37000.0
64914792,Black,Crédito,2022-09-09 04:12:17,2022-09-13 04:12:17,2027-09-13,36000.0
84051135,Standard,Crédito,2022-01-14 17:12:30,2022-01-20 17:12:30,2027-01-20,14000.0
36700168,Maestro/Debit,Débito,2021-12-10 22:16:51,2022-01-08 22:16:51,2027-01-08,0.0
87911601,Platinum,Crédito,2020-09-21 00:16:23,2020-09-29 00:16:23,2025-09-29,20000.0
46728656,Gold,Crédito,2022-04-15 11:17:44,2022-04-21 11:17:44,2027-04-21,22000.0
20727721,Maestro/Debit,Débito,2021-08-16 00:42:25,2021-08-24 00:42:25,2026-08-24,0.0
31339304,Standard,Crédito,2021-02-04 01:08:55,2021-02-23 01:08:55,2026-02-23,6000.0
65056153,Platinum,Crédito,2022-06-03 17:47:04,2022-06-12 17:47:04,2027-06-12,32000.0
62801967,Gold,Crédito,2020-05-15 12:35:28,2020-06-13 12:35:28,2025-06-13,16000.0
95009952,Gold,Crédito,2021-04-30 17:52:42,2021-05-25 17:52:42,2026-05-25,22000.0
13708761,Black,Crédito,2021-06-23 20:58:05,2021-06-26 20:58:05,2026-06-26,28000.0
38251164,Gold,Crédito,2020-03-05 11:45:57,2020-03-10 11:45:57,2025-03-10,17000.0
59769802,Gold,Crédito,2021-12-10 23:01:26,2022-01-02 23:01:26,2027-01-02,23000.0
23558194,Maestro/Debit,Débito,2021-11-23 17:05:00,2021-12-06 17:05:00,2026-12-06,0.0
85897959,Gold,Crédito,2022-11-24 08:44:36,2022-12-02 08:44:36,2027-12-02,27000.0
36764564,Standard,Crédito,2021-01-13 11:33:33,2021-01-13 11:33:33,2026-01-13,20000.0
59327490,Black,Crédito,2022-02-06 13:21:26,2022-02-22 13:21:26,2027-02-22,28000.0
86661192,Platinum,Crédito,2020-12-21 16:52:05,2021-01-02 16:52:05,2026-01-02,20000.0
66976729,Black,Crédito,2022-01-10 05:01:07,2022-02-02 05:01:07,2027-02-02,26000.0
32531137,Platinum,Crédito,2021-11-15 06:46:41,2021-12-11 06:46:41,2026-12-11,14000.0
72585616,Standard,Crédito,2020-09-17 15:31:48,2020-09-23 15:31:48,2025-09-23,15000.0
64500638,Maestro/Debit,Débito,2021-11-18 01:08:13,2021-11-26 01:08:13,2026-11-26,0.0
17235590,Black,Crédito,2021-10-30 04:54:36,2021-11-09 04:54:36,2026-11-09,42000.0
11644076,Platinum,Crédito,2022-04-08 06:52:35,2022-04-10 06:52:35,2027-04-10,16000.0
78091282,Maestro/Debit,Débito,2022-09-17 17:13:08,2022-10-12 17:13:08,2027-10-12,0.0
93649761,Platinum,Crédito,2021-07-01 12:23:59,2021-07-12 12:23:59,2026-07-12,30000.0
84494283,Gold,Crédito,2021-01-09 04:24:31,2021-01-29 04:24:31,2026-01-29,12000.0
90079487,Standard,Crédito,2022-11-12 16:38:01,2022-11-14 16:38:01,2027-11-14,16000.0
54294951,Gold,Crédito,2022-07-30 02:03:47,2022-08-13 02:03:47,2027-08-13,25000.0
12535559,Black,Crédito,2023-06-01 15:04:38,2023-06-02 15:04:38,2028-01-01,26000.0
60563393,Platinum,Crédito,2020-08-31 09:19:05,2020-09-09 09:19:05,2025-09-09,23000.0
20129279,Standard,Crédito,2021-07-31 08:12:12,2021-07-31 08:12:12,2026-07-31,6000.0
43937659,Gold,Crédito,2023-03-13 04:06:04,2023-03-14 04:06:04,2028-01-01,23000.0
13336137,Black,Crédito,2020-04-23 03:49:36,2020-05-19 03:49:36,2025-05-19,18000.0
18384908,Standard,Crédito,2022-07-12 15:48:58,2022-07-31 15:48:58,2027-07-31,8000.0
39478670,Black,Crédito,2020-06-20 23:58:09,2020-06-25 23:58:09,2025-06-25,33000.0
52184369,Gold,Crédito,2022-02-13 11:56:54,2022-02-14 11:56:54,2027-02-14,20000.0
15511070,Platinum,Crédito,2020-10-07 00:19:50,2020-11-04 00:19:50,2025-11-04,33000.0
58071932,Maestro/Debit,Débito,2021-11-06 22:11:33,2021-11-28 22:11:33,2026-11-28,0.0
33543352,Platinum,Crédito,2021-12-04 17:33:39,2021-12-11 17:33:39,2026-12-11,28000.0
21693094,Platinum,Crédito,2023-02-14 13:02:48,2023-02-15 13:02:48,2028-01-01,15000.0
69447109,Black,Crédito,2022-10-17 01:51:50,2022-11-14 01:51:50,2027-11-14,32000.0
61874263,Platinum,Crédito,2021-07-25 17:08:31,2021-07-28 17:08:31,2026-07-28,26000.0
38271227,Standard,Crédito,2021-01-11 21:36:30,2021-02-06 21:36:30,2026-02-06,8000.0
36897278,Maestro/Debit,Débito,2020-10-04 22:03:50,2020-10-07 22:03:50,2025-10-07,0.0
79233124,Platinum,Crédito,2022-08-27 19:19:07,2022-09-24 19:19:07,2027-09-24,16000.0
43768258,Platinum,Crédito,2022-03-04 03:54:44,2022-03-08 03:54:44,2027-03-08,26000.0
65721055,Standard,Crédito,2022-07-26 14:54:49,2022-08-24 14:54:49,2027-08-24,10000.0
93507215,Standard,Crédito,2022-01-28 23:44:11,2022-02-24 23:44:11,2027-02-24,14000.0
61944756,Gold,Crédito,2022-08-07 15:44:24,2022-09-03 15:44:24,2027-09-03,15000.0
35570499,Platinum,Crédito,2022-05-03 11:09:23,2022-05-22 11:09:23,2027-05-22,29000.0
23382949,Platinum,Crédito,2022-03-10 06:23:41,2022-03-18 06:23:41,2027-03-18,32000.0
36789189,Gold,Crédito,2023-03-28 05:26:53,2023-03-29 05:26:53,2028-01-01,14000.0
61759678,Black,Crédito,2022-03-16 14:00:12,2022-03-28 14:00:12,2027-03-28,24000.0
79822909,Gold,Crédito,2022-02-09 19:27:17,2022-02-26 19:27:17,2027-02-26,8000.0
86037525,Platinum,Crédito,2021-02-14 19:25:56,2021-03-02 19:25:56,2026-03-02,23000.0
54358630,Gold,Crédito,2020-11-11 06:51:47,2020-12-05 06:51:47,2025-12-05,10000.0
15801855,Black,Crédito,2021-05-15 08:40:26,2021-05-15 08:40:26,2026-05-15,24000.0
80198147,Platinum,Crédito,2022-07-12 07:20:29,2022-08-02 07:20:29,2027-08-02,12000.0
37033547,Platinum,Crédito,2022-05-07 10:42:12,2022-05-21 10:42:12,2027-05-21,13000.0
14426292,Gold,Crédito,2021-01-25 06:55:06,2021-01-26 06:55:06,2026-01-26,20000.0
76273510,Black,Crédito,2021-01-03 20:09:55,2021-01-18 20:09:55,2026-01-18,29000.0
21900506,Platinum,Crédito,2020-01-17 09:24:53,2020-02-05 09:24:53,2025-02-05,14000.0
48132280,Gold,Crédito,2020-11-26 10:20:45,2020-12-17 10:20:45,2025-12-17,21000.0
86993504,Platinum,Crédito,2023-06-20 14:20:27,2023-06-21 14:20:27,2028-01-01,21000.0
57022981,Gold,Crédito,2022-09-15 17:02:04,2022-10-11 17:02:04,2027-10-11,22000.0
